Language	Type	Memory	EmpiricalMedianDiff	MedianDiff_Lower	MedianDiff_Upper	Level
Catalan	GROUND	2.44354581833	0.318850874901	0.239095687866	0.377709031105	0.9820079803466811
Catalan	GROUND	2.50958752632	0.318850874901	0.239095687866	0.37882399559	0.9820079803466811
Catalan	GROUND	2.57562947273	0.318850874901	0.239095687866	0.37882399559	0.9820079803466811
Czech	REAL_REAL	0.059089936316	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.118179872632	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.177269801497	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.236359745264	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.295449674129	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.354539602995	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.41362953186	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.472719490528	0.0	0.0	0.0	0.9946027100086212
Czech	REAL_REAL	0.531809389591	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.590899348259	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.649989306927	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.70907920599	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.768169164658	0.0	0.0	0.0	0.9990196265280247
Czech	REAL_REAL	0.827259063721	0.0	0.0	0.0	0.9989472180604935
Czech	REAL_REAL	0.886349022388	0.00512236356735	0.0	0.01547986269	0.9798313826322556
Czech	REAL_REAL	0.945438981056	0.0346673130989	0.0127204060555	0.0450248122215	0.9798313826322556
Czech	REAL_REAL	1.00452888012	0.0497500300407	0.0176987051964	0.0645024180412	0.9692955613136292
Czech	REAL_REAL	1.06361877918	0.0497500896454	0.0176987051964	0.0645024180412	0.9692955613136292
Czech	REAL_REAL	1.12270879745	0.0497500300407	0.017698764801	0.0645024776459	0.9692955613136292
Czech	REAL_REAL	1.18179869652	0.0497499704361	0.017698764801	0.0645024776459	0.9692955613136292
Czech	REAL_REAL	1.24088859558	0.0497499704361	0.017698764801	0.0645024776459	0.9692955613136292
Czech	REAL_REAL	1.29997861385	0.0557725429535	0.0176986455917	0.0695201158524	0.9692955613136292
Czech	REAL_REAL	1.35906851292	0.0656207799911	0.0194475650787	0.0793684720993	0.9692955613136292
Czech	REAL_REAL	1.41815841198	0.0754690170288	0.0252262353897	0.0892168283463	0.9692955613136292
Czech	REAL_REAL	1.47724843025	0.0763177871704	0.0252261161804	0.0908216238022	0.9692955613136292
Czech	REAL_REAL	1.53633832932	0.0777391195297	0.0278617143631	0.0941066741943	0.9692955613136292
Czech	REAL_REAL	1.59542822838	0.0826631784439	0.0327860116959	0.0990309715271	0.9692955613136292
Czech	REAL_REAL	1.65451812744	0.0856176614761	0.0346237421036	0.103463768959	0.9692955613136292
Czech	REAL_REAL	1.71360814571	0.088019490242	0.0375782251358	0.106418251991	0.9692955613136292
Czech	REAL_REAL	1.77269804478	0.0909848213196	0.040459394455	0.110422372818	0.9692955613136292
Czech	REAL_REAL	1.83178794384	0.0934679508209	0.0424292087555	0.11435842514	0.9692955613136292
Czech	REAL_REAL	1.89087796211	0.096195101738	0.0447949171066	0.118790268898	0.9692955613136292
Czech	REAL_REAL	1.94996786118	0.0980070829391	0.0466032028198	0.122405409813	0.9692955613136292
Czech	REAL_REAL	2.00905776024	0.0999060869217	0.0480619668961	0.124593257904	0.9692955613136292
Czech	REAL_REAL	2.0681476593	0.101646542549	0.0490099191666	0.126385092735	0.9692955613136292
Czech	REAL_REAL	2.12723755836	0.103234529495	0.0499527454376	0.127865791321	0.9692955613136292
Czech	REAL_REAL	2.18632769585	0.104783058167	0.0506303310394	0.129441857338	0.9692955613136292
Czech	REAL_REAL	2.24541759491	0.106153249741	0.0524451732635	0.133024096489	0.9692955613136292
Czech	REAL_REAL	2.30450749397	0.109804749489	0.0545753240585	0.137003064156	0.9692955613136292
Czech	GROUND	0.059089936316	0.0	0.0	0.0	0.9953318908810597
Czech	GROUND	0.118179872632	0.0	0.0	0.0	0.9953318908810597
Czech	GROUND	0.177269801497	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.236359745264	0.0	0.0	0.0	0.9953318908810597
Czech	GROUND	0.295449674129	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.354539602995	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.41362953186	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.472719490528	0.0	0.0	0.0	0.9953318908810597
Czech	GROUND	0.531809389591	0.0	0.0	0.0	0.9997520456090551
Czech	GROUND	0.590899348259	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.649989306927	0.0	0.0	0.0	0.9997520456090551
Czech	GROUND	0.70907920599	0.0	0.0	0.0	0.9965782295912485
Czech	GROUND	0.768169164658	0.0	0.0	0.0	0.9997520456090551
Czech	GROUND	0.827259063721	0.0	0.0	0.0	0.9965059980750065
Czech	GROUND	0.886349022388	0.00512236356735	0.0	0.01547986269	0.9774368777871113
Czech	GROUND	0.945438981056	0.0346673130989	0.0127204060555	0.0450248122215	0.9805497340857964
Czech	GROUND	1.00452888012	0.0642122626305	0.042265355587	0.0745697617531	0.9805497340857964
Czech	GROUND	1.06361877918	0.0908247232437	0.0655452609062	0.103688776493	0.958759739995001
Czech	GROUND	1.12270879745	0.0908246636391	0.0655453205109	0.103688716888	0.958759739995001
Czech	GROUND	1.18179869652	0.0908246040344	0.0655453205109	0.103688716888	0.958759739995001
Czech	GROUND	1.24088859558	0.0908246040344	0.0655453205109	0.103688716888	0.958759739995001
Czech	GROUND	1.29997861385	0.0968471765518	0.0655452013016	0.108706355095	0.958759739995001
Czech	GROUND	1.35906851292	0.106695413589	0.0672941207886	0.118554830551	0.958759739995001
Czech	GROUND	1.41815841198	0.116543769836	0.0771425962448	0.128403067589	0.958759739995001
Czech	GROUND	1.47724843025	0.126962780952	0.0869908332825	0.138251423836	0.958759739995001
Czech	GROUND	1.53633832932	0.132719397545	0.0944933891296	0.14811706543	0.958759739995001
Czech	GROUND	1.59542822838	0.137643456459	0.0994176864624	0.153041243553	0.958759739995001
Czech	GROUND	1.65451812744	0.142567634583	0.104952931404	0.159053206444	0.958759739995001
Czech	GROUND	1.71360814571	0.149587869644	0.11283159256	0.166931867599	0.958759739995001
Czech	GROUND	1.77269804478	0.152553081512	0.116560816765	0.171323537827	0.958759739995001
Czech	GROUND	1.83178794384	0.157477259636	0.121485114098	0.177604436874	0.958759739995001
Czech	GROUND	1.89087796211	0.160509109497	0.12444961071	0.182942867279	0.958759739995001
Czech	GROUND	1.94996786118	0.163469433784	0.127382993698	0.187984108925	0.958759739995001
Czech	GROUND	2.00905776024	0.166032671928	0.129921913147	0.190811753273	0.958759739995001
Czech	GROUND	2.0681476593	0.168225049973	0.131464481354	0.193314313889	0.958759739995001
Czech	GROUND	2.12723755836	0.170647025108	0.132889986038	0.195382833481	0.958759739995001
Czech	GROUND	2.18632769585	0.172934293747	0.134193778038	0.197526216507	0.958759739995001
Czech	GROUND	2.24541759491	0.175215482712	0.136619210243	0.201650261879	0.958759739995001
Czech	GROUND	2.30450749397	0.179768204689	0.140468358994	0.206115365028	0.958759739995001
Dutch	REAL_REAL	0.0422797389328	0.0	0.0	0.0	0.9988436221465175
Dutch	REAL_REAL	0.0845594778657	0.0	0.0	0.0	0.9988436221465175
Dutch	REAL_REAL	0.126839220524	0.0	0.0	0.0	0.9990234300566893
Dutch	REAL_REAL	0.169118955731	0.0	0.0	0.0	0.9988436221465175
Dutch	REAL_REAL	0.211398690939	0.0	-1.49011611938e-08	0.0	0.9989960238090073
Dutch	REAL_REAL	0.253678441048	0.0	0.0	0.0	0.9990234300566893
Dutch	REAL_REAL	0.295958161354	0.0	0.0	0.0	0.9990232216441594
Dutch	REAL_REAL	0.338237911463	0.0	0.0	0.0	0.9988436221465175
Dutch	REAL_REAL	0.380517631769	0.0	0.0	0.0	0.9882541310798783
Dutch	REAL_REAL	0.422797381878	0.0	-2.98023223877e-08	0.0	0.9989960238090073
Dutch	REAL_REAL	0.465077131987	0.0	-2.98023223877e-08	0.0	0.9990204080750057
Dutch	REAL_REAL	0.507356882095	0.0	0.0	0.0	0.9990234300566893
Dutch	REAL_REAL	0.549636602402	0.0	0.0	0.0	0.9990204080750057
Dutch	REAL_REAL	0.591916322708	0.0	0.0	0.00461095571518	0.9864947331516246
Dutch	REAL_REAL	0.634196043015	0.00830388069153	0.0	0.0257508158684	0.9864947331516246
Dutch	REAL_REAL	0.676475822926	0.0294438004494	0.00808638334274	0.0468907356262	0.9864947331516246
Dutch	REAL_REAL	0.718755543232	0.0505836009979	0.0292262434959	0.0680305361748	0.9864947331516246
Dutch	REAL_REAL	0.761035263538	0.0627580881119	0.0369784832001	0.0867565870285	0.9758872629026825
Dutch	REAL_REAL	0.803315043449	0.0627580881119	0.0369785428047	0.0867566466331	0.9758872629026825
Dutch	REAL_REAL	0.845594763756	0.0627580881119	0.0369785428047	0.0867566466331	0.9758872629026825
Dutch	REAL_REAL	0.887874484062	0.0627580881119	0.0369785428047	0.087938606739	0.9758872629026825
Dutch	REAL_REAL	0.930154263973	0.0639829039574	0.0376056432724	0.0949852466583	0.9758872629026825
Dutch	REAL_REAL	0.97243398428	0.0666391849518	0.0406087636948	0.102031886578	0.9758872629026825
Dutch	REAL_REAL	1.01471376419	0.0707331299782	0.0469247698784	0.109078466892	0.9758872629026825
Dutch	REAL_REAL	1.0569934845	0.0726251006126	0.04869556427	0.113465607166	0.9758872629026825
Dutch	REAL_REAL	1.0992732048	0.07614839077	0.04869556427	0.115638852119	0.9758872629026825
Dutch	REAL_REAL	1.14155292511	0.0796716809273	0.0486956238747	0.119162201881	0.9758872629026825
Dutch	REAL_REAL	1.18383264542	0.0825313925743	0.0510103106499	0.12321048975	0.9758872629026825
Dutch	REAL_REAL	1.22611236572	0.0846453905106	0.0512031912804	0.126035988331	0.9758872629026825
Dutch	REAL_REAL	1.26839208603	0.087816119194	0.0538686513901	0.129214525223	0.9758872629026825
Dutch	REAL_REAL	1.31067192554	0.0902632474899	0.0580936670303	0.132598757744	0.9758872629026825
Dutch	REAL_REAL	1.35295164585	0.0932541489601	0.0617831945419	0.135558784008	0.9758872629026825
Dutch	REAL_REAL	1.39523136616	0.097120821476	0.0616125464439	0.142213463783	0.9758872629026825
Dutch	REAL_REAL	1.43751108646	0.102148473263	0.0643093585968	0.144811987877	0.9758872629026825
Dutch	REAL_REAL	1.47979080677	0.107366919518	0.0695141553879	0.148451805115	0.9758872629026825
Dutch	REAL_REAL	1.52207052708	0.108952283859	0.0740424990654	0.154204726219	0.9758872629026825
Dutch	REAL_REAL	1.56435036659	0.111144304276	0.0776038765907	0.159344315529	0.9758872629026825
Dutch	REAL_REAL	1.6066300869	0.114636659622	0.0784152746201	0.163897275925	0.9758872629026825
Dutch	REAL_REAL	1.64890980721	0.118017435074	0.0784152746201	0.167321443558	0.9758872629026825
Dutch	GROUND	0.0422797389328	0.0	0.0	0.0	0.9988436221465175
Dutch	GROUND	0.0845594778657	0.0	0.0	0.0	0.9988436221465175
Dutch	GROUND	0.126839220524	0.0	0.0	0.0	0.9990234300566893
Dutch	GROUND	0.169118955731	0.0	0.0	0.0	0.9988436221465175
Dutch	GROUND	0.211398690939	0.0	-1.49011611938e-08	1.49011611938e-08	0.9989960238090073
Dutch	GROUND	0.253678441048	0.0	0.0	0.0	0.9990234300566893
Dutch	GROUND	0.295958161354	0.0	0.0	0.0	0.9990232216441594
Dutch	GROUND	0.338237911463	0.0	0.0	0.0	0.9988436221465175
Dutch	GROUND	0.380517631769	0.0	0.0	0.0	0.9989960238090073
Dutch	GROUND	0.422797381878	0.0	-2.98023223877e-08	2.98023223877e-08	0.9989960238090073
Dutch	GROUND	0.465077131987	0.0	0.0	2.98023223877e-08	0.9990204080750057
Dutch	GROUND	0.507356882095	0.0	0.0	0.0	0.9990234300566893
Dutch	GROUND	0.549636602402	0.0	0.0	0.0	0.9990204080750057
Dutch	GROUND	0.591916322708	0.0	0.0	0.00461095571518	0.9864947331516246
Dutch	GROUND	0.634196043015	0.00830388069153	0.0	0.0257508158684	0.9864947331516246
Dutch	GROUND	0.676475822926	0.0294438004494	0.00808638334274	0.0468907356262	0.9864947331516246
Dutch	GROUND	0.718755543232	0.0505836009979	0.0292262434959	0.0680305361748	0.9864947331516246
Dutch	GROUND	0.761035263538	0.0717235207558	0.0503661036491	0.089170396328	0.9864947331516246
Dutch	GROUND	0.803315043449	0.0874592065811	0.0618810653687	0.110310316086	0.9758872629026825
Dutch	GROUND	0.845594763756	0.0874592065811	0.0618810653687	0.111379563808	0.9758872629026825
Dutch	GROUND	0.887874484062	0.0874592065811	0.0618810653687	0.112561523914	0.9758872629026825
Dutch	GROUND	0.930154263973	0.0886840224266	0.0625081062317	0.119608104229	0.9758872629026825
Dutch	GROUND	0.97243398428	0.091340303421	0.0655112266541	0.126654744148	0.9758872629026825
Dutch	GROUND	1.01471376419	0.0954342484474	0.0718272924423	0.133701384068	0.9758872629026825
Dutch	GROUND	1.0569934845	0.102908015251	0.0788739323616	0.140748023987	0.9758872629026825
Dutch	GROUND	1.0992732048	0.11347335577	0.0805667042732	0.149967908859	0.9758872629026825
Dutch	GROUND	1.14155292511	0.116996645927	0.0805667042732	0.1535987854	0.9758872629026825
